taxon,true_label,reference_predicted_label,reference_predicted_probability,mean_absolute_probability_change_reference_class,probability_sd_reference_class,probability_interval_width_reference_class,classification_switching_rate,prediction_agreement_rate
hCoV-19/SouthAfrica/CERI-KRISP-K033035/2021,BA.1,BA.1,0.9633333,0.0135833295,0.014781284,0.05675,0.0,1.0
hCoV-19/England/NEWC-20CA260/2021,AY.4,AY.4,0.86,0.022583328,0.025959363,0.100000024,0.0,1.0
hCoV-19/England/MILK-1E37C56/2021,AY.4,AY.4,0.8833333,0.016699994,0.020610647,0.07674998,0.0,1.0
hCoV-19/England/MILK-18C93B4/2021,AY.4,AY.4,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/England/ALDP-20559DE/2021,AY.4,AY.4,0.94,0.029816661,0.016746806,0.06666666,0.0,1.0
hCoV-19/England/MILK-166710B/2021,B.1.617.2,B.1.617.2,1.0,0.0003999996,0.0011333321,0.0033333302,0.0,1.0
hCoV-19/England/PLYM-18C9EE0/2021,B.1.617.2,B.1.617.2,1.0,0.002199998,0.0027976155,0.00999999,0.0,1.0
hCoV-19/England/PLYM-18C9D7A/2021,B.1.617.2,B.1.617.2,0.99333334,0.0052666627,0.0069377357,0.023416638,0.0,1.0
hCoV-19/NorthernIreland/PHEC-N304NE96/2021,B.1.617.2,B.1.617.2,0.86,0.016716661,0.02009836,0.08341664,0.0,1.0
hCoV-19/Turkey/HSGM-B15942/2021,B.1.351,B.1.351,0.73,0.07043335,0.05461465,0.21041662,0.0,1.0
hCoV-19/England/CAMB-AA0387/2021,B.1.1.7,B.1.1.7,0.99,0.0049166624,0.0064237155,0.026666641,0.0,1.0
hCoV-19/Italy/EMR-C061-21-39/2021,B.1.617.2,B.1.617.2,0.66,0.028883357,0.028386809,0.11341667,0.0,1.0
hCoV-19/USA/MA-CDCBI-CRSP_NEN5TI73VMHLAJOG/2021,B.1.526,B.1.351,0.15666667,0.022116667,0.027414914,0.10341665,0.46,0.54
hCoV-19/Brazil/MG-FIOCRUZ-4156/2021,P.2,P.2,0.99666667,0.0023166644,0.003001432,0.00999999,0.0,1.0
hCoV-19/England/BIRM-70D04/2021,B.1.1.7,B.1.1.7,1.0,3.33333e-05,0.00033166222,0.0,0.0,1.0
hCoV-19/France/PAC-IHU-9615_Illu1/2021,B.1.525,B.1.525,0.7,0.093899995,0.064070195,0.2503333,0.0,1.0
hCoV-19/England/PHEC-3U088U85/2021,BA.1,BA.1,0.72,0.030950021,0.027218126,0.100250006,0.0,1.0
hCoV-19/USA/VT-CDCBI-CRSP_YLOSW4MOR2L5GKJN/2021,B.1.617.2,B.1.617.2,0.8566667,0.022399986,0.019372799,0.07341671,0.0,1.0
hCoV-19/Australia/NSW-ICPMR-5676/2021,B.1.617.2,B.1.617.2,0.96666664,0.01066669,0.013537777,0.056666672,0.0,1.0
hCoV-19/Portugal/PT2156/2020,B.1.1.7,B.1.1.7,1.0,0.010816656,0.006519176,0.026666641,0.0,1.0
hCoV-19/Mexico/YUC-INMEGEN-06-04-306/2021,P.1,P.1,0.9533333,0.010399997,0.012980283,0.04666668,0.0,1.0
hCoV-19/England/NEWC-1EE4C58/2021,AY.4,AY.4,0.96,0.017616654,0.015303142,0.06008333,0.0,1.0
hCoV-19/England/NEWC-1DA743C/2021,AY.4,AY.4,0.83666664,0.021516683,0.02121959,0.07999998,0.0,1.0
hCoV-19/USA/WA-CDC-UW21100349777/2021,B.1.617.2,B.1.617.2,0.37666667,0.02955,0.036630403,0.13683331,0.0,1.0
hCoV-19/USA/MN-CDC-IBX194492871228/2021,B.1.526,B.1.526,0.79333335,0.06800001,0.060594197,0.2336666,0.0,1.0
hCoV-19/Germany/NW-RKI-I-157388/2021,B.1.351,B.1.351,0.98333335,0.03405001,0.026904356,0.09000003,0.0,1.0
hCoV-19/Italy/EMR_AUSLRomagna_C080-21-12/2021,B.1.617.2,B.1.617.2,0.93333334,0.023266664,0.02879653,0.10033333,0.0,1.0
hCoV-19/Switzerland/un-33059398/2021,B.1.1.7,B.1.1.7,0.85333335,0.022516657,0.021892153,0.08675003,0.0,1.0
hCoV-19/England/NEWC-20C94C5/2021,AY.4,AY.4,0.8433333,0.03628332,0.036696106,0.13024998,0.0,1.0
hCoV-19/Singapore/4654/2021,B.1.617.2,B.1.617.2,0.84,0.027316691,0.022666508,0.0900833,0.0,1.0
hCoV-19/England/ALDP-2DA0861/2021,BA.1,BA.1,1.0,0.0002333331,0.0009134783,0.0033333302,0.0,1.0
hCoV-19/Canada/BC-BCCDC-55931/2021,B.1.617.1,B.1.617.1,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/England/ALDP-1DD7BD4/2021,AY.4.2,AY.4.2,0.81333333,0.05933333,0.032367248,0.12349999,0.0,1.0
hCoV-19/England/MILK-1A12EE6/2021,AY.4,AY.4,1.0,0.0075333263,0.005241284,0.01999998,0.0,1.0
hCoV-19/Mexico/GUA-InDRE_FB17341_S3687/2021,P.1,P.1,1.0,0.0060999943,0.0044485913,0.01666665,0.0,1.0
hCoV-19/Denmark/DCGC-164797/2021,AY.4,AY.4,0.85,0.02291666,0.024130289,0.0900833,0.0,1.0
hCoV-19/USA/CA-LACPHL-AF00978/2021,B.1.617.1,B.1.617.1,0.70666665,0.04028332,0.028635016,0.106916666,0.0,1.0
hCoV-19/USA/TX-HMH-MCoV-24824/2021,P.2,P.2,0.99,0.0063833282,0.008042781,0.026749969,0.0,1.0
hCoV-19/Germany/HH-HPI-p6066/2021,B.1.617.1,B.1.617.1,1.0,0.0047166627,0.0070653833,0.023416638,0.0,1.0
hCoV-19/Brazil/CE-FIOCRUZ-6582/2021,P.2,P.2,1.0,0.0031666637,0.0033124315,0.010083318,0.0,1.0
hCoV-19/USA/ID-CDC-MMB09235078/2021,P.1,P.1,0.95,0.032483324,0.037415735,0.14008337,0.0,1.0
hCoV-19/Denmark/DCGC-182324/2021,AY.4,B.1.617.2,0.52666664,0.05260001,0.057579618,0.21341667,0.1,0.9
hCoV-19/Germany/NW-RKI-I-188307/2021,B.1.617.2,B.1.617.2,0.95,0.01191666,0.0150014665,0.060166657,0.0,1.0
hCoV-19/England/PLYM-1A134F2/2021,B.1.617.2,B.1.617.2,0.81666666,0.018483326,0.022163475,0.08350003,0.0,1.0
hCoV-19/Denmark/DCGC-127464/2021,AY.4,AY.4,0.95666665,0.037299987,0.039028637,0.15391672,0.0,1.0
hCoV-19/England/ALDP-16813F6/2021,AY.4,AY.4,0.95,0.016083345,0.010404485,0.04000002,0.0,1.0
hCoV-19/USA/FL-CDC-QDX21398147/2021,B.1.1.7,B.1.1.7,0.99,0.0052999947,0.005142411,0.016833305,0.0,1.0
hCoV-19/Australia/NSW-RPAH-2058/2021,BA.1,BA.1,1.0,1.666665e-05,0.00023511205,0.0,0.0,1.0
hCoV-19/USA/CA-CZB-33487/2021,B.1.429,B.1.429,0.82,0.019049997,0.02081345,0.08341664,0.0,1.0
hCoV-19/England/HSLL-1E5C72D/2021,AY.4,AY.4,0.97,0.011200033,0.011094752,0.04333335,0.0,1.0
hCoV-19/Peru/LIM-UPCH-0431/2021,C.37,C.37,0.7033333,0.027399998,0.034022458,0.13016665,0.0,1.0
hCoV-19/England/MILK-2D12A37/2021,BA.1,BA.1,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/India/DL-NCDC-609245/2021,B.1.1.7,B.1.1.7,0.96,0.010833326,0.011155463,0.04341668,0.0,1.0
hCoV-19/England/QEUH-1BCE47D/2021,AY.4,AY.4,0.74,0.053199995,0.062483232,0.25,0.0,1.0
hCoV-19/Germany/NW-RKI-I-144719/2021,B.1.351,B.1.617.1,0.19666667,0.024566669,0.023810267,0.09016667,0.775,0.22499999999999998
hCoV-19/Chile/CO-102198/2021,C.37,C.37,0.9433333,0.016849987,0.015265778,0.06008333,0.0,1.0
hCoV-19/Belgium/UZA-UA-CV2315615726/2021,B.1.617.2,B.1.617.2,0.99333334,0.0055666612,0.0061304285,0.023333311,0.0,1.0
hCoV-19/Wales/PHWC-PDTCM6/2021,AY.4,AY.4,0.76666665,0.03835,0.04834666,0.18683332,0.0,1.0
hCoV-19/Denmark/DCGC-172170/2021,B.1.617.2,B.1.617.2,0.56,0.02906666,0.028956499,0.11008334,0.0,1.0
hCoV-19/USA/FL-CDC-LC0104367/2021,B.1.621,B.1.621,0.97333336,0.03533336,0.0268592,0.096916676,0.0,1.0
hCoV-19/Finland/V11181/2021,B.1.351,B.1.351,0.91,0.016833348,0.021775093,0.0868333,0.0,1.0
hCoV-19/England/OXON-F53D9F/2021,B.1.1.7,B.1.1.7,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/England/MILK-1E63608/2021,AY.4,AY.4,0.9633333,0.0125333695,0.00913699,0.03341669,0.0,1.0
hCoV-19/England/NEWC-1D0D2D0/2021,AY.4.2,AY.4.2,0.87666667,0.04226667,0.028948536,0.11008334,0.0,1.0
hCoV-19/USA/NY-CUIMC-NP-6974/2021,B.1.621,P.1,0.20666666,0.027749997,0.027852144,0.10349999,0.325,0.675
hCoV-19/Germany/NW-RKI-I-144740/2021,C.37,C.37,0.84,0.025249999,0.029960895,0.11683333,0.0,1.0
hCoV-19/USA/CO-CDPHE-2101210414/2021,B.1.526,B.1.526,0.44,0.099883325,0.11250288,0.34025002,0.32,0.6799999999999999
hCoV-19/Denmark/DCGC-173116/2021,B.1.617.2,B.1.617.2,0.7266667,0.02018334,0.026295075,0.10674995,0.0,1.0
hCoV-19/Scotland/QEUH-1E39C54/2021,AY.4,AY.4,0.99666667,0.013766656,0.0077999993,0.030000031,0.0,1.0
hCoV-19/USA/NE-NCOV21-18283/2021,B.1.429,B.1.429,0.9633333,0.014083333,0.017071346,0.06008333,0.0,1.0
hCoV-19/Denmark/DCGC-173068/2021,B.1.617.2,B.1.617.2,0.85333335,0.028383352,0.023029394,0.089999974,0.0,1.0
hCoV-19/Germany/NW-RKI-I-164035/2021,B.1.617.1,B.1.617.1,0.6433333,0.06269999,0.03321372,0.123666644,0.0,1.0
hCoV-19/Brazil/SP-C2127/2021,P.2,P.2,0.98333335,0.018183349,0.0116265975,0.04333335,0.0,1.0
hCoV-19/USA/HI-H211417/2021,B.1.429,B.1.429,0.87,0.01923333,0.022193592,0.08674997,0.0,1.0
hCoV-19/Canada/ON-PHL-21-14356/2021,B.1.525,B.1.525,0.9866667,0.004816662,0.005461349,0.01999998,0.0,1.0
hCoV-19/Italy/TAA-1900539666/2021,B.1.525,B.1.525,0.44333333,0.07803332,0.042511318,0.16358331,0.0,1.0
hCoV-19/Wales/PHWC-4B1E1F/2020,B.1.1.7,B.1.351,0.16666667,0.020783333,0.024606677,0.09341666,0.035,0.965
hCoV-19/Spain/MD-HRYC-65080101/2021,B.1.351,B.1.351,0.47,0.07043333,0.08587642,0.29008332,0.045,0.955
hCoV-19/England/BRBR-206EBFA/2021,B.1.617.2,AY.4,0.48333332,0.036133338,0.041267205,0.15033329,0.05,0.95
hCoV-19/Brazil/SC-FIOCRUZ-3300/2021,P.2,P.2,0.8833333,0.017849997,0.02181431,0.08000004,0.0,1.0
hCoV-19/England/ALDP-1DAF443/2021,AY.4,AY.4,0.91333336,0.016933346,0.0199388,0.07683331,0.0,1.0
hCoV-19/USA/MN-CDC-LC0052796/2021,B.1.427,B.1.427,0.91333336,0.2168,0.2750406,0.65666664,0.0,1.0
hCoV-19/Argentina/INEI104236/2021,B.1.427,B.1.427,0.67,0.09628334,0.07860688,0.28341666,0.0,1.0
hCoV-19/USA/CA-SC-211026/2021,B.1.617.1,B.1.617.1,0.48,0.050316658,0.03411653,0.13683331,0.0,1.0
hCoV-19/USA/CA-CDC-ASC210035369/2021,B.1.525,B.1.525,0.99333334,0.012949992,0.00785591,0.026833355,0.0,1.0
hCoV-19/USA/TX-CDC-2-4567271/2021,B.1.621,B.1.621,0.88,0.016666662,0.020783434,0.07675004,0.0,1.0
hCoV-19/England/MILK-2043FD1/2021,B.1.617.2,B.1.617.2,0.95,0.022883315,0.016562594,0.06674999,0.0,1.0
hCoV-19/Aruba/AW-RIVM-17592/2021,B.1.1.7,B.1.1.7,1.0,0.004199996,0.0037154297,0.013333321,0.0,1.0
hCoV-19/England/ALDP-20D9C8E/2021,AY.4,AY.4,0.56666666,0.03348333,0.036179025,0.14333332,0.0,1.0
hCoV-19/Ireland/CN-NVRL-83IRL08031/2021,B.1.1.7,B.1.1.7,0.9866667,0.007633326,0.0041531743,0.013333321,0.0,1.0
hCoV-19/England/QEUH-CAA60A/2020,B.1.1.7,B.1.1.7,1.0,3.33333e-05,0.0003316622,0.0,0.0,1.0
hCoV-19/England/ALDP-1EEA706/2021,AY.4,AY.4,0.96,0.009150008,0.011515395,0.04341668,0.0,1.0
hCoV-19/USA/OH-CDC-FG-122627/2021,B.1.617.2,B.1.617.2,0.76666665,0.02228333,0.027112802,0.10350001,0.0,1.0
hCoV-19/Denmark/DCGC-174074/2021,B.1.617.2,B.1.617.2,0.77666664,0.02729999,0.028111206,0.10683334,0.0,1.0
hCoV-19/England/NEWC-1E40540/2021,AY.4,AY.4,0.89,0.01598334,0.018631808,0.07016665,0.0,1.0
hCoV-19/Denmark/DCGC-146042/2021,B.1.617.2,B.1.617.2,0.83,0.025216654,0.022807397,0.08675003,0.0,1.0
hCoV-19/England/QEUH-1C66D3F/2021,AY.4,AY.4,0.94,0.013649991,0.015423271,0.06008333,0.0,1.0
hCoV-19/India/WB-1931300258718/2021,B.1.617.1,B.1.617.1,0.99333334,0.005166662,0.0057719573,0.023333311,0.0,1.0
hCoV-19/USA/FL-CDC-ASC210110764/2021,P.1,P.1,0.99666667,0.002483331,0.0033179196,0.013333321,0.0,1.0
hCoV-19/England/CAMC-BC11A3/2020,B.1.1.7,B.1.1.7,1.0,1.666665e-05,0.00023511205,0.0,0.0,1.0
hCoV-19/England/CAMC-139B471/2021,B.1.1.7,B.1.1.7,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/USA/RI-CDC-LC0061806/2021,B.1.526,B.1.526,0.98333335,0.006849996,0.008454304,0.030083358,0.0,1.0
hCoV-19/France/PAC-IHU-8968_Illu1/2021,B.1.525,B.1.351,0.16333333,0.028016668,0.035553683,0.14016667,0.67,0.32999999999999996
hCoV-19/England/WSFT-25D055A/2021,B.1.1.7,B.1.1.7,0.96,0.014483365,0.008983314,0.03333336,0.0,1.0
hCoV-19/England/QEUH-1677751/2021,AY.4,AY.4,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/England/MILK-156749A/2021,B.1.351,B.1.351,0.99333334,0.0057499944,0.0064687016,0.026749969,0.0,1.0
hCoV-19/USA/PA-CDC-LC0062040/2021,B.1.526,B.1.526,1.0,0.010283326,0.010353621,0.03666669,0.0,1.0
hCoV-19/Spain/CL-COV06293/2021,B.1.351,B.1.351,0.94,0.01459999,0.017776348,0.06999999,0.0,1.0
hCoV-19/England/ALDP-1DBF89F/2021,AY.4,AY.4,0.8333333,0.04261665,0.02715171,0.10008329,0.0,1.0
hCoV-19/England/ALDP-115BCC2/2021,B.1.1.7,B.1.1.7,0.9166667,0.018433338,0.022953192,0.08674997,0.0,1.0
hCoV-19/USA/TX-CDC-FG-037693/2021,P.1,P.1,0.99333334,0.003966663,0.0051944363,0.01999998,0.0,1.0
hCoV-19/Cambodia/744697/2021,B.1.1.7,B.1.1.7,0.88666666,0.024300015,0.017557025,0.07008332,0.0,1.0
hCoV-19/England/QEUH-167EB8B/2021,AY.4,AY.4,0.71,0.028100004,0.03567919,0.12674999,0.0,1.0
hCoV-19/England/ALDP-20D6D33/2021,AY.4,AY.4,0.82,0.019933332,0.02195326,0.08674997,0.0,1.0
hCoV-19/USA/MA-CDCBI-CRSP_XY2VMYRFKRBLULMJ/2021,B.1.617.2,B.1.617.2,0.97,0.011666698,0.011542202,0.040166676,0.0,1.0
hCoV-19/England/ALDP-DA27C2/2020,B.1.1.7,B.1.1.7,1.0,0.00031666635,0.0009773822,0.0033333302,0.0,1.0
hCoV-19/England/ALDP-11CE617/2021,B.1.1.7,B.1.1.7,0.99,0.009066662,0.008156729,0.03333336,0.0,1.0
hCoV-19/USA/GA-CDC-ASC210003182/2021,P.2,P.2,0.99666667,0.0025666642,0.00167199,0.0034166574,0.0,1.0
hCoV-19/Israel/CVL-5009/2021,B.1.1.7,B.1.1.7,1.0,0.0010666656,0.001878532,0.0066666603,0.0,1.0
hCoV-19/SouthAfrica/KRISP-K016700/2021,B.1.351,B.1.351,0.8566667,0.059433345,0.05937975,0.21333331,0.0,1.0
hCoV-19/England/MILK-1C565FE/2021,AY.4,AY.4,0.99666667,0.002383331,0.0020665976,0.0066666603,0.0,1.0
hCoV-19/Chile/LI-125506/2021,C.37,C.37,0.9866667,0.015450006,0.010903313,0.03675002,0.0,1.0
hCoV-19/England/ALDP-1DC01AF/2021,AY.4,AY.4,0.94666666,0.014816654,0.014473249,0.050166607,0.0,1.0
hCoV-19/England/ALDP-167934C/2021,B.1.617.2,B.1.617.2,0.9866667,0.0052666627,0.00693333,0.029999971,0.0,1.0
hCoV-19/Ireland/C-NVRL-t90IRL03508/2021,B.1.617.1,B.1.617.1,1.0,0.009266661,0.012486257,0.04333335,0.0,1.0
hCoV-19/England/PORT-1E7341A/2021,B.1.617.2,B.1.617.2,0.27666667,0.035016663,0.032211587,0.12341666,0.0,1.0
hCoV-19/Suriname/SR-150/2021,P.2,P.2,0.7733333,0.08561666,0.13686533,0.48341665,0.0,1.0
hCoV-19/Wales/PHWC-PDXWBX/2021,AY.4,AY.4,0.5833333,0.040016674,0.043868084,0.17025,0.0,1.0
hCoV-19/England/MILK-1204E67/2021,B.1.1.7,B.1.1.7,0.99333334,0.0048499955,0.006009963,0.023333311,0.0,1.0
hCoV-19/England/ALDP-1FA51CC/2021,AY.4,AY.4,0.99,0.0063333274,0.0034762654,0.013333321,0.0,1.0
hCoV-19/USA/NJ-PHEL-V21002286/2021,B.1.526,B.1.617.1,0.23,0.031716667,0.037149694,0.13716666,0.195,0.8049999999999999
hCoV-19/Belgium/Jessa_11-2136-007420/2021,B.1.617.2,B.1.617.2,0.54,0.041349985,0.030963201,0.1135,0.0,1.0
hCoV-19/Greece/144443/2021,B.1.1.7,B.1.1.7,0.99666667,0.0022666645,0.0029582249,0.00999999,0.0,1.0
hCoV-19/England/QEUH-2DB8A7F/2021,BA.1,BA.1,0.91,0.06528336,0.026802942,0.103583276,0.0,1.0
hCoV-19/England/WSFT-25D3548/2021,B.1.1.7,B.1.1.7,0.95,0.024033317,0.015876465,0.06341666,0.0,1.0
hCoV-19/Scotland/QEUH-1F892F8/2021,AY.4,AY.4,0.93666667,0.027016662,0.011605553,0.04675001,0.0,1.0
hCoV-19/Ireland/OY-NVRL-e85IRL39002/2021,B.1.1.7,B.1.1.7,0.79333335,0.023133326,0.02724612,0.10683334,0.0,1.0
hCoV-19/Belgium/UZA-UA-CV2077734037/2021,B.1.1.7,B.1.1.7,0.99666667,0.0024999976,0.0029469354,0.00999999,0.0,1.0
hCoV-19/Australia/NSW-RPAH-2071/2021,BA.1,BA.1,0.6933333,0.03856666,0.031725753,0.12016666,0.0,1.0
hCoV-19/Jordan/UK6/2020,B.1.1.7,P.1,0.17,0.0287,0.023470432,0.09,0.445,0.5549999999999999
hCoV-19/Denmark/DCGC-126491/2021,B.1.617.2,B.1.617.2,0.6166667,0.040250007,0.033534687,0.13341665,0.0,1.0
hCoV-19/England/CAMC-107381C/2021,B.1.1.7,B.1.1.7,0.9866667,0.00701666,0.0053551327,0.01999998,0.0,1.0
hCoV-19/England/QEUH-129D6A7/2021,B.1.1.7,B.1.1.7,1.0,9.99999e-05,0.00056862354,0.0033333302,0.0,1.0
hCoV-19/England/LOND-E132A/2021,B.1.1.7,B.1.1.7,0.97333336,0.011466682,0.014389204,0.060000002,0.0,1.0
hCoV-19/USA/MN-CDC-IBX607773005950/2021,B.1.429,B.1.429,0.91,0.027683359,0.02087342,0.08350003,0.0,1.0
hCoV-19/India/LEH-NCDC-260975/2021,B.1.617.1,B.1.617.1,0.30666667,0.030233333,0.03713064,0.14016666,0.0,1.0
hCoV-19/Scotland/QEUH-1ED5B7B/2021,AY.4.2,AY.4.2,0.99666667,0.003599997,0.005653314,0.023333311,0.0,1.0
hCoV-19/England/MILK-16493DC/2021,B.1.617.2,B.1.617.2,0.85333335,0.038516674,0.042262983,0.15349996,0.0,1.0
hCoV-19/Denmark/DCGC-175601/2021,B.1.617.2,B.1.617.2,0.85,0.0294,0.034993954,0.12674999,0.0,1.0
hCoV-19/USA/CA-CZB-24537/2020,B.1.427,B.1.427,0.76,0.051016655,0.036921203,0.14341664,0.0,1.0
hCoV-19/England/NEWC-1ED6F41/2021,AY.4,AY.4,0.99333334,0.00986666,0.010253399,0.03666669,0.0,1.0
hCoV-19/Germany/BE-RKI-I-162283/2021,B.1.351,B.1.351,0.5733333,0.029933328,0.03539854,0.12674999,0.0,1.0
hCoV-19/USA/DC-DFS-PHL-0944/2021,B.1.621,B.1.621,0.5933333,0.07568331,0.05019141,0.19666669,0.0,1.0
hCoV-19/England/OXON-F4120E/2020,B.1.1.7,B.1.1.7,0.9866667,0.007049997,0.008928092,0.03675002,0.0,1.0
hCoV-19/Scotland/QEUH-1235D24/2021,B.1.1.7,B.1.1.7,0.99,0.0048499955,0.004167296,0.013333321,0.0,1.0
hCoV-19/Australia/NSW-ICPMR-7830/2021,B.1.617.2,B.1.617.2,0.97,0.007866671,0.008600719,0.030000031,0.0,1.0
hCoV-19/England/MILK-2DD7E6F/2021,BA.1,BA.1,0.99666667,0.0020499981,0.0025990892,0.00999999,0.0,1.0
hCoV-19/USA/MA-CDCBI-CRSP_UQJCTVTI73IGBS6N/2021,B.1.351,B.1.351,0.43,0.04541666,0.05569809,0.2071667,0.0,1.0
hCoV-19/England/BRBR-206D232/2021,AY.4,AY.4,0.79333335,0.02573332,0.025401134,0.10341668,0.0,1.0
hCoV-19/Spain/NC-CHN-01000388/2021,B.1.1.7,B.1.1.7,0.9633333,0.010466687,0.011699918,0.04666668,0.0,1.0
hCoV-19/England/ALDP-167DD86/2021,AY.4,AY.4,1.0,0.0016666651,0.0023570203,0.0066666603,0.0,1.0
hCoV-19/Singapore/5994/2021,B.1.617.2,B.1.617.2,0.8066667,0.032633338,0.027102504,0.10008329,0.0,1.0
hCoV-19/England/QEUH-1C617EB/2021,AY.4,AY.4,0.99666667,0.0059999945,0.0054238103,0.01999998,0.0,1.0
hCoV-19/Chile/LR-UACH-00014/2021,C.37,C.37,0.85333335,0.015833337,0.019680789,0.07674998,0.0,1.0
hCoV-19/England/ALDP-1E4E603/2021,B.1.617.2,AY.4,0.5966667,0.06513336,0.037186377,0.14025,0.0,1.0
hCoV-19/Norway/OUS-18109/2021,BA.1,BA.1,1.0,0.0021333313,0.0036061641,0.00999999,0.0,1.0
hCoV-19/France/IDF-HMN-21032250288/2021,B.1.525,B.1.525,0.93333334,0.01843333,0.01789696,0.06999999,0.0,1.0
hCoV-19/USA/NY-UB-ECPHL-01114/2021,B.1.617.1,B.1.617.1,0.7966667,0.046983346,0.02641632,0.09675002,0.0,1.0
hCoV-19/USA/CA-CDC-STM-000020637/2021,B.1.427,B.1.427,0.68,0.03301667,0.032276373,0.13341671,0.0,1.0
hCoV-19/England/MILK-2D337EE/2021,BA.1,BA.1,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/USA/FL-BPHL-5210/2021,P.1,P.1,0.86333334,0.03273334,0.030580513,0.11358333,0.0,1.0
hCoV-19/England/MILK-1DA4569/2021,B.1.617.2,AY.4,0.42666668,0.04783332,0.027811889,0.11349997,0.02,0.98
hCoV-19/Singapore/872/2021,B.1.351,B.1.351,0.49666667,0.05185,0.05388768,0.19333336,0.0,1.0
hCoV-19/Singapore/6712/2021,B.1.617.2,B.1.617.2,0.8233333,0.017633328,0.022575798,0.08683336,0.0,1.0
hCoV-19/CaymanIslands/26625/2021,P.1,P.1,0.98333335,0.014000013,0.010170778,0.04000002,0.0,1.0
hCoV-19/Norway/OUS-03102/2021,B.1.1.7,B.1.1.7,1.0,3.33333e-05,0.0003316622,0.0,0.0,1.0
hCoV-19/Austria/CeMM5304/2021,B.1.1.7,B.1.1.7,0.9266667,0.05075,0.06512302,0.24691665,0.0,1.0
hCoV-19/England/QEUH-12FD089/2021,B.1.1.7,B.1.1.7,0.75666666,0.051866665,0.047294714,0.19683331,0.0,1.0
hCoV-19/Switzerland/GE-33059814/2021,B.1.1.7,B.1.1.7,0.9633333,0.018099986,0.015302716,0.056833327,0.0,1.0
hCoV-19/England/PLYM-167CF09/2021,B.1.617.2,B.1.617.2,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/England/ALDP-12BB139/2021,B.1.1.7,B.1.1.7,0.9433333,0.014533329,0.010808231,0.04341668,0.0,1.0
hCoV-19/Ghana/NMIMR-TRA-133/2021,B.1.1.7,B.1.1.7,0.99666667,0.0024166643,0.0026724392,0.0066666603,0.0,1.0
hCoV-19/England/PLYM-1F8C231/2021,AY.4,AY.4,0.96666664,0.016150042,0.0076480736,0.030000031,0.0,1.0
hCoV-19/USA/CA-CDC-FG-121570/2021,B.1.617.2,B.1.617.2,0.8566667,0.034999996,0.040945206,0.1633333,0.0,1.0
hCoV-19/Brazil/RN-00858/2021,P.2,P.2,0.99666667,0.003199997,0.004102028,0.013416648,0.0,1.0
hCoV-19/Germany/SH-RKI-I-252849/2021,B.1.617.2,B.1.617.2,0.7733333,0.026299989,0.026807439,0.10008335,0.0,1.0
