taxon,true_label,reference_predicted_label,reference_predicted_probability,mean_absolute_probability_change_reference_class,probability_sd_reference_class,probability_interval_width_reference_class,classification_switching_rate,prediction_agreement_rate
hCoV-19/England/PLYM-18C9EE0/2021,B.1.617.2,B.1.617.2,0.6066667,0.053150002,0.06647454,0.25375003,0.005,0.995
hCoV-19/England/PLYM-18C9D7A/2021,B.1.617.2,B.1.617.2,0.73333335,0.080633335,0.1002493,0.38049996,0.01,0.99
hCoV-19/NorthernIreland/PHEC-N304NE96/2021,B.1.617.2,B.1.617.2,0.74666667,0.03383333,0.04003902,0.15024996,0.0,1.0
hCoV-19/Turkey/HSGM-B15942/2021,B.1.351,B.1.351,0.64,0.06785,0.08337484,0.31675,0.0,1.0
hCoV-19/England/CAMB-AA0387/2021,B.1.1.7,B.1.1.7,0.99,0.0074499953,0.009005783,0.030083358,0.0,1.0
hCoV-19/Italy/EMR-C061-21-39/2021,B.1.617.2,B.1.617.1,0.21,0.05374999,0.04112844,0.1435,0.695,0.30500000000000005
hCoV-19/USA/MA-CDCBI-CRSP_NEN5TI73VMHLAJOG/2021,B.1.526,B.1.526,0.23,0.079450004,0.081414916,0.29008332,0.585,0.41500000000000004
hCoV-19/Brazil/MG-FIOCRUZ-4156/2021,P.2,P.2,0.9433333,0.018133324,0.023462873,0.09666669,0.0,1.0
hCoV-19/England/BIRM-70D04/2021,B.1.1.7,B.1.1.7,1.0,0.00014999986,0.0007672093,0.0033333302,0.0,1.0
hCoV-19/France/PAC-IHU-9615_Illu1/2021,B.1.525,B.1.525,0.27,0.059350003,0.06572484,0.2568333,0.265,0.735
hCoV-19/England/PHEC-3U088U85/2021,BA.1,BA.1,0.35,0.06883333,0.059903394,0.22025,0.03,0.97
hCoV-19/USA/VT-CDCBI-CRSP_YLOSW4MOR2L5GKJN/2021,B.1.617.2,B.1.617.2,0.7733333,0.03276668,0.03324321,0.12683332,0.0,1.0
hCoV-19/Australia/NSW-ICPMR-5676/2021,B.1.617.2,B.1.617.2,0.94666666,0.03801666,0.034856748,0.13341665,0.0,1.0
hCoV-19/Portugal/PT2156/2020,B.1.1.7,B.1.1.7,0.9166667,0.021199992,0.023918817,0.09016663,0.0,1.0
hCoV-19/Mexico/YUC-INMEGEN-06-04-306/2021,P.1,P.1,0.50666666,0.05466667,0.058272578,0.22350001,0.0,1.0
hCoV-19/England/NEWC-1EE4C58/2021,AY.4,AY.4,0.71666664,0.04755002,0.05288633,0.20341665,0.0,1.0
hCoV-19/England/NEWC-1DA743C/2021,AY.4,B.1.617.2,0.31666666,0.030866666,0.037795708,0.15016666,0.33,0.6699999999999999
hCoV-19/USA/WA-CDC-UW21100349777/2021,B.1.617.2,B.1.525,0.26,0.079733334,0.08749847,0.30699998,0.44,0.56
hCoV-19/USA/MN-CDC-IBX194492871228/2021,B.1.526,B.1.621,0.25333333,0.05026667,0.063903086,0.24024999,0.615,0.385
hCoV-19/Germany/NW-RKI-I-157388/2021,B.1.351,B.1.351,0.9033333,0.040533315,0.032416802,0.13008332,0.0,1.0
hCoV-19/Italy/EMR_AUSLRomagna_C080-21-12/2021,B.1.617.2,B.1.617.2,0.7733333,0.06958334,0.076020375,0.28075004,0.0,1.0
hCoV-19/Switzerland/un-33059398/2021,B.1.1.7,B.1.1.7,0.36333334,0.05455,0.063397154,0.23674999,0.155,0.845
hCoV-19/England/NEWC-20C94C5/2021,AY.4,B.1.617.2,0.50666666,0.038666666,0.04853213,0.17999998,0.26,0.74
hCoV-19/Singapore/4654/2021,B.1.617.2,B.1.617.2,0.80333334,0.031933334,0.040008333,0.16691667,0.0,1.0
hCoV-19/England/ALDP-2DA0861/2021,BA.1,BA.1,1.0,0.0001333332,0.00073333265,0.0033333302,0.0,1.0
hCoV-19/Canada/BC-BCCDC-55931/2021,B.1.617.1,B.1.617.1,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/England/ALDP-1DD7BD4/2021,AY.4.2,AY.4,0.88666666,0.050699994,0.043767516,0.15366668,0.0,1.0
hCoV-19/England/MILK-1A12EE6/2021,AY.4,AY.4,0.8433333,0.039500028,0.031078754,0.11691666,0.0,1.0
hCoV-19/Mexico/GUA-InDRE_FB17341_S3687/2021,P.1,P.1,0.98333335,0.009616657,0.005723217,0.020083308,0.0,1.0
hCoV-19/Denmark/DCGC-164797/2021,AY.4,AY.4,0.68666667,0.054783333,0.06676283,0.25691664,0.0,1.0
hCoV-19/USA/CA-LACPHL-AF00978/2021,B.1.617.1,B.1.617.1,0.34,0.049516663,0.059139177,0.22358333,0.0,1.0
hCoV-19/USA/TX-HMH-MCoV-24824/2021,P.2,P.2,0.99,0.019700002,0.021369766,0.08349997,0.0,1.0
hCoV-19/Germany/HH-HPI-p6066/2021,B.1.617.1,B.1.617.1,0.9533333,0.09413333,0.111199275,0.33666664,0.0,1.0
hCoV-19/Brazil/CE-FIOCRUZ-6582/2021,P.2,P.2,0.99666667,0.01986666,0.013118441,0.05341667,0.0,1.0
hCoV-19/USA/ID-CDC-MMB09235078/2021,P.1,P.1,0.80333334,0.049650006,0.048422076,0.19024998,0.0,1.0
hCoV-19/Denmark/DCGC-182324/2021,AY.4,B.1.617.2,0.73333335,0.04891666,0.047903188,0.18683332,0.0,1.0
hCoV-19/Germany/NW-RKI-I-188307/2021,B.1.617.2,B.1.617.2,0.82,0.03228333,0.039733805,0.14666665,0.0,1.0
hCoV-19/England/PLYM-1A134F2/2021,B.1.617.2,AY.4,0.45,0.04283333,0.05097288,0.17750001,0.075,0.925
hCoV-19/Denmark/DCGC-127464/2021,AY.4,AY.4,0.67333335,0.089549996,0.11080322,0.42691663,0.075,0.925
hCoV-19/England/ALDP-16813F6/2021,AY.4,AY.4,0.91,0.023966676,0.02952596,0.116666675,0.0,1.0
hCoV-19/USA/FL-CDC-QDX21398147/2021,B.1.1.7,B.1.1.7,1.0,0.00064999936,0.0013620844,0.0033333302,0.0,1.0
hCoV-19/Australia/NSW-RPAH-2058/2021,BA.1,BA.1,1.0,0.00038333295,0.0013815236,0.0034166574,0.0,1.0
hCoV-19/USA/CA-CZB-33487/2021,B.1.429,B.1.429,0.55333334,0.048916664,0.060063556,0.23033333,0.0,1.0
hCoV-19/England/HSLL-1E5C72D/2021,AY.4,AY.4,0.9533333,0.018400019,0.01197016,0.04341668,0.0,1.0
hCoV-19/Peru/LIM-UPCH-0431/2021,C.37,C.37,0.72,0.048983347,0.0592188,0.23333335,0.0,1.0
hCoV-19/England/MILK-2D12A37/2021,BA.1,BA.1,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/India/DL-NCDC-609245/2021,B.1.1.7,B.1.1.7,0.39333335,0.0369,0.044688255,0.17675,0.0,1.0
hCoV-19/England/QEUH-1BCE47D/2021,AY.4,AY.4,0.5933333,0.06729999,0.077208206,0.28016663,0.08,0.92
hCoV-19/Germany/NW-RKI-I-144719/2021,B.1.351,B.1.617.1,0.26666668,0.036733333,0.0446228,0.17400002,0.035,0.965
hCoV-19/Chile/CO-102198/2021,C.37,C.37,0.93333334,0.029383328,0.03452985,0.123666644,0.0,1.0
hCoV-19/Belgium/UZA-UA-CV2315615726/2021,B.1.617.2,B.1.617.2,0.79333335,0.046116658,0.039339095,0.1434167,0.0,1.0
hCoV-19/Wales/PHWC-PDTCM6/2021,AY.4,AY.4,0.39666668,0.05415,0.06488184,0.257,0.015,0.985
hCoV-19/Denmark/DCGC-172170/2021,B.1.617.2,B.1.617.2,0.46333334,0.03955,0.04838151,0.18375,0.0,1.0
hCoV-19/USA/FL-CDC-LC0104367/2021,B.1.621,B.1.621,0.89666665,0.04549999,0.047163267,0.16366667,0.0,1.0
hCoV-19/Finland/V11181/2021,B.1.351,B.1.351,0.48666668,0.054816667,0.068633564,0.27674997,0.025,0.975
hCoV-19/England/OXON-F53D9F/2021,B.1.1.7,B.1.1.7,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/England/MILK-1E63608/2021,AY.4,AY.4,0.8433333,0.02578335,0.029916437,0.11341667,0.0,1.0
hCoV-19/England/NEWC-1D0D2D0/2021,AY.4.2,AY.4,0.7366667,0.035949998,0.043927334,0.16016662,0.0,1.0
hCoV-19/USA/NY-CUIMC-NP-6974/2021,B.1.621,P.1,0.25333333,0.040583335,0.049421024,0.19333333,0.06,0.94
hCoV-19/Germany/NW-RKI-I-144740/2021,C.37,C.37,0.5966667,0.04193333,0.051261682,0.19016665,0.0,1.0
hCoV-19/USA/CO-CDPHE-2101210414/2021,B.1.526,B.1.526,0.22666667,0.10546667,0.117935665,0.32683334,0.42,0.5800000000000001
hCoV-19/Denmark/DCGC-173116/2021,B.1.617.2,B.1.617.2,0.7866667,0.038466655,0.036392536,0.14674997,0.0,1.0
hCoV-19/Scotland/QEUH-1E39C54/2021,AY.4,AY.4,0.99666667,0.0038999962,0.004848707,0.01666665,0.0,1.0
hCoV-19/USA/NE-NCOV21-18283/2021,B.1.429,B.1.429,0.89,0.06628332,0.05911249,0.21383339,0.0,1.0
hCoV-19/Denmark/DCGC-173068/2021,B.1.617.2,B.1.617.2,0.98333335,0.00923333,0.012391038,0.050000012,0.0,1.0
hCoV-19/Germany/NW-RKI-I-164035/2021,B.1.617.1,B.1.617.1,0.38666666,0.050499998,0.061737113,0.24366668,0.0,1.0
hCoV-19/Brazil/SP-C2127/2021,P.2,P.2,0.77666664,0.04543333,0.055397112,0.22350001,0.0,1.0
hCoV-19/USA/HI-H211417/2021,B.1.429,B.1.429,0.7266667,0.040933333,0.050852027,0.19374996,0.0,1.0
hCoV-19/Canada/ON-PHL-21-14356/2021,B.1.525,B.1.525,0.99666667,0.007149993,0.0070029898,0.023416638,0.0,1.0
hCoV-19/Italy/TAA-1900539666/2021,B.1.525,B.1.525,0.44333333,0.058299996,0.05967538,0.23024997,0.0,1.0
hCoV-19/Wales/PHWC-4B1E1F/2020,B.1.1.7,B.1.351,0.20666666,0.050966665,0.055509068,0.21016666,0.54,0.45999999999999996
hCoV-19/Spain/MD-HRYC-65080101/2021,B.1.351,B.1.351,0.31,0.055549998,0.06314329,0.23675,0.15,0.85
hCoV-19/England/BRBR-206EBFA/2021,B.1.617.2,AY.4,0.31666666,0.05876667,0.05711236,0.22683331,0.07,0.9299999999999999
hCoV-19/Brazil/SC-FIOCRUZ-3300/2021,P.2,P.2,0.93,0.021016665,0.024368871,0.093333304,0.0,1.0
hCoV-19/England/ALDP-1DAF443/2021,AY.4,AY.4,0.6166667,0.044216663,0.0548163,0.21358329,0.01,0.99
hCoV-19/USA/MN-CDC-LC0052796/2021,B.1.427,B.1.427,0.57666665,0.21826667,0.2600951,0.66400003,0.37,0.63
hCoV-19/Argentina/INEI104236/2021,B.1.427,B.1.427,0.55,0.05085,0.064290814,0.24033338,0.005,0.995
hCoV-19/USA/CA-SC-211026/2021,B.1.617.1,B.1.351,0.31333333,0.06713333,0.057938773,0.22008333,0.145,0.855
hCoV-19/USA/CA-CDC-ASC210035369/2021,B.1.525,B.1.525,0.97,0.013500032,0.012486622,0.04666668,0.0,1.0
hCoV-19/USA/TX-CDC-2-4567271/2021,B.1.621,B.1.621,0.77666664,0.04906666,0.052902676,0.20358336,0.0,1.0
hCoV-19/England/MILK-2043FD1/2021,B.1.617.2,AY.4,0.48666668,0.037299998,0.046074387,0.18024996,0.06,0.94
hCoV-19/Aruba/AW-RIVM-17592/2021,B.1.1.7,B.1.1.7,1.0,1.666665e-05,0.00023511205,0.0,0.0,1.0
hCoV-19/England/ALDP-20D9C8E/2021,AY.4,AY.4,0.35333332,0.04780001,0.047980033,0.19341666,0.2,0.8
hCoV-19/Ireland/CN-NVRL-83IRL08031/2021,B.1.1.7,B.1.1.7,0.93333334,0.014466659,0.018996367,0.07666665,0.0,1.0
hCoV-19/England/QEUH-CAA60A/2020,B.1.1.7,B.1.1.7,1.0,3.33333e-05,0.00033166222,0.0,0.0,1.0
hCoV-19/England/ALDP-1EEA706/2021,AY.4,AY.4,0.85,0.032833353,0.030704979,0.110000014,0.0,1.0
hCoV-19/USA/OH-CDC-FG-122627/2021,B.1.617.2,B.1.617.2,0.84,0.031516664,0.03750481,0.1335833,0.0,1.0
hCoV-19/Denmark/DCGC-174074/2021,B.1.617.2,B.1.617.2,0.73,0.07271665,0.060511645,0.22008336,0.0,1.0
hCoV-19/England/NEWC-1E40540/2021,AY.4,AY.4,0.7733333,0.03966668,0.043467537,0.18333334,0.0,1.0
hCoV-19/Denmark/DCGC-146042/2021,B.1.617.2,B.1.617.2,0.97,0.031150032,0.019741368,0.07675004,0.0,1.0
hCoV-19/England/QEUH-1C66D3F/2021,AY.4,AY.4,0.83666664,0.02423334,0.029734083,0.11349994,0.0,1.0
hCoV-19/India/WB-1931300258718/2021,B.1.617.1,B.1.617.1,0.7633333,0.055883333,0.060319588,0.22683334,0.0,1.0
hCoV-19/USA/FL-CDC-ASC210110764/2021,P.1,P.1,1.0,0.0055166613,0.005245072,0.01666665,0.0,1.0
hCoV-19/England/CAMC-BC11A3/2020,B.1.1.7,B.1.1.7,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/England/CAMC-139B471/2021,B.1.1.7,B.1.1.7,0.99,0.0118499985,0.011679414,0.04341668,0.0,1.0
hCoV-19/USA/RI-CDC-LC0061806/2021,B.1.526,B.1.526,0.99,0.008733328,0.011223734,0.04008335,0.0,1.0
hCoV-19/France/PAC-IHU-8968_Illu1/2021,B.1.525,B.1.351,0.22,0.0545,0.04314007,0.16033332,0.68,0.31999999999999995
hCoV-19/England/WSFT-25D055A/2021,B.1.1.7,B.1.1.7,0.8933333,0.023216682,0.023412434,0.0900833,0.0,1.0
hCoV-19/England/QEUH-1677751/2021,AY.4,AY.4,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/England/MILK-156749A/2021,B.1.351,B.1.351,0.98333335,0.023850013,0.023010576,0.076916635,0.0,1.0
hCoV-19/USA/PA-CDC-LC0062040/2021,B.1.526,B.1.526,0.98,0.016516674,0.021753158,0.076916635,0.0,1.0
hCoV-19/Spain/CL-COV06293/2021,B.1.351,B.1.351,0.7733333,0.03181667,0.039704014,0.15033329,0.0,1.0
hCoV-19/England/ALDP-1DBF89F/2021,AY.4,AY.4,0.28666666,0.07823334,0.042756625,0.16016668,0.05,0.95
hCoV-19/England/ALDP-115BCC2/2021,B.1.1.7,B.1.1.7,0.93666667,0.015799992,0.019917015,0.07683331,0.0,1.0
hCoV-19/USA/TX-CDC-FG-037693/2021,P.1,P.1,0.94,0.029249992,0.029507393,0.109999955,0.0,1.0
hCoV-19/Cambodia/744697/2021,B.1.1.7,B.1.1.7,0.40333334,0.04203333,0.051815648,0.20349997,0.0,1.0
hCoV-19/England/QEUH-167EB8B/2021,AY.4,AY.4,0.38666666,0.055900007,0.058354132,0.23374999,0.025,0.975
hCoV-19/England/ALDP-20D6D33/2021,AY.4,AY.4,0.6533333,0.030316683,0.03620328,0.15008336,0.0,1.0
hCoV-19/USA/MA-CDCBI-CRSP_XY2VMYRFKRBLULMJ/2021,B.1.617.2,B.1.617.2,0.66,0.048100006,0.058281645,0.22358328,0.0,1.0
hCoV-19/England/ALDP-DA27C2/2020,B.1.1.7,B.1.1.7,1.0,0.000716666,0.0018220089,0.0066666603,0.0,1.0
hCoV-19/England/ALDP-11CE617/2021,B.1.1.7,B.1.1.7,1.0,0.00014999986,0.0006910132,0.0033333302,0.0,1.0
hCoV-19/USA/GA-CDC-ASC210003182/2021,P.2,P.2,0.55333334,0.04206667,0.05085263,0.19358331,0.0,1.0
hCoV-19/Israel/CVL-5009/2021,B.1.1.7,B.1.1.7,0.92333335,0.019399999,0.024004536,0.089999974,0.0,1.0
hCoV-19/SouthAfrica/KRISP-K016700/2021,B.1.351,B.1.351,0.43333334,0.07461666,0.096011534,0.37375,0.03,0.97
hCoV-19/England/MILK-1C565FE/2021,AY.4,AY.4.2,0.49333334,0.09690001,0.10038064,0.36358333,0.725,0.275
hCoV-19/Chile/LI-125506/2021,C.37,C.37,0.69666666,0.11184999,0.12204507,0.42058334,0.025,0.975
hCoV-19/England/ALDP-1DC01AF/2021,AY.4,AY.4,0.56,0.034816667,0.042634673,0.1603333,0.025,0.975
hCoV-19/England/ALDP-167934C/2021,B.1.617.2,B.1.617.2,0.81,0.04633333,0.047270805,0.17016667,0.0,1.0
hCoV-19/Ireland/C-NVRL-t90IRL03508/2021,B.1.617.1,B.1.617.1,0.99333334,0.04201667,0.06246368,0.17808336,0.0,1.0
hCoV-19/England/PORT-1E7341A/2021,B.1.617.2,B.1.617.1,0.2,0.031816665,0.03515249,0.12674999,0.12,0.88
hCoV-19/Suriname/SR-150/2021,P.2,P.2,0.52,0.14203332,0.16635957,0.5600833,0.135,0.865
hCoV-19/Wales/PHWC-PDXWBX/2021,AY.4,AY.4,0.43333334,0.05436666,0.048958078,0.19024998,0.0,1.0
hCoV-19/England/MILK-1204E67/2021,B.1.1.7,B.1.1.7,0.97333336,0.0130500235,0.013784369,0.05008334,0.0,1.0
hCoV-19/England/ALDP-1FA51CC/2021,AY.4,AY.4,0.91333336,0.021650009,0.025916958,0.10341662,0.0,1.0
hCoV-19/USA/NJ-PHEL-V21002286/2021,B.1.526,B.1.526,0.18333334,0.038166665,0.040823184,0.14675,0.175,0.825
hCoV-19/Belgium/Jessa_11-2136-007420/2021,B.1.617.2,B.1.525,0.20666666,0.032449998,0.03425223,0.13008332,0.205,0.795
hCoV-19/Greece/144443/2021,B.1.1.7,B.1.1.7,0.81666666,0.034083333,0.04073598,0.14691663,0.0,1.0
hCoV-19/England/QEUH-2DB8A7F/2021,BA.1,BA.1,0.58,0.06481667,0.07180227,0.26016667,0.0,1.0
hCoV-19/England/WSFT-25D3548/2021,B.1.1.7,B.1.1.7,0.6433333,0.04088334,0.04688553,0.18024999,0.0,1.0
hCoV-19/Scotland/QEUH-1F892F8/2021,AY.4,AY.4,0.9266667,0.02963332,0.02554743,0.103583336,0.0,1.0
hCoV-19/Ireland/OY-NVRL-e85IRL39002/2021,B.1.1.7,B.1.1.7,0.21333334,0.04728333,0.050100233,0.19016667,0.11,0.89
hCoV-19/Belgium/UZA-UA-CV2077734037/2021,B.1.1.7,B.1.1.7,1.0,0.00021666646,0.0010042954,0.0033333302,0.0,1.0
hCoV-19/Australia/NSW-RPAH-2071/2021,BA.1,P.1,0.31333333,0.051466666,0.062061798,0.22033334,0.085,0.915
hCoV-19/Jordan/UK6/2020,B.1.1.7,B.1.351,0.14666666,0.030683331,0.038334895,0.15675,0.505,0.495
hCoV-19/Denmark/DCGC-126491/2021,B.1.617.2,AY.4,0.54,0.10229997,0.04542975,0.17341667,0.0,1.0
hCoV-19/England/CAMC-107381C/2021,B.1.1.7,B.1.1.7,0.89,0.02741667,0.033106055,0.13008332,0.0,1.0
hCoV-19/England/QEUH-129D6A7/2021,B.1.1.7,B.1.1.7,1.0,4.999995e-05,0.00040517445,0.0,0.0,1.0
hCoV-19/England/LOND-E132A/2021,B.1.1.7,B.1.1.7,0.8933333,0.033066675,0.039849035,0.14999998,0.0,1.0
hCoV-19/USA/MN-CDC-IBX607773005950/2021,B.1.429,B.1.617.1,0.29666665,0.0514,0.062244534,0.21383335,0.235,0.765
hCoV-19/India/LEH-NCDC-260975/2021,B.1.617.1,B.1.617.1,0.55,0.10783335,0.079545364,0.2906666,0.015,0.985
hCoV-19/Scotland/QEUH-1ED5B7B/2021,AY.4.2,AY.4.2,0.71666664,0.14626665,0.1292829,0.52699995,0.135,0.865
hCoV-19/England/MILK-16493DC/2021,B.1.617.2,B.1.617.2,0.62,0.06458333,0.06874141,0.26666665,0.02,0.98
hCoV-19/Denmark/DCGC-175601/2021,B.1.617.2,B.1.617.2,0.93666667,0.025733327,0.025595115,0.09341663,0.0,1.0
hCoV-19/USA/CA-CZB-24537/2020,B.1.427,B.1.429,0.28666666,0.055666666,0.03934017,0.15016666,0.27,0.73
hCoV-19/England/NEWC-1ED6F41/2021,AY.4,AY.4,0.81333333,0.060699996,0.068784036,0.25058335,0.0,1.0
hCoV-19/Germany/BE-RKI-I-162283/2021,B.1.351,BA.1,0.29333332,0.037149996,0.04641381,0.18341665,0.375,0.625
hCoV-19/USA/DC-DFS-PHL-0944/2021,B.1.621,B.1.525,0.27333334,0.03348333,0.04071281,0.16008332,0.01,0.99
hCoV-19/England/OXON-F4120E/2020,B.1.1.7,B.1.1.7,0.99,0.015583334,0.016232613,0.06008333,0.0,1.0
hCoV-19/Scotland/QEUH-1235D24/2021,B.1.1.7,B.1.1.7,0.9266667,0.019233331,0.023097642,0.0900833,0.0,1.0
hCoV-19/Australia/NSW-ICPMR-7830/2021,B.1.617.2,B.1.617.2,0.9266667,0.02579999,0.025658853,0.09675002,0.0,1.0
hCoV-19/England/MILK-2DD7E6F/2021,BA.1,BA.1,1.0,0.0013999987,0.0023418867,0.0066666603,0.0,1.0
hCoV-19/USA/MA-CDCBI-CRSP_UQJCTVTI73IGBS6N/2021,B.1.351,B.1.617.1,0.15333334,0.046516668,0.025654623,0.099999994,0.925,0.07499999999999996
hCoV-19/England/BRBR-206D232/2021,AY.4,B.1.617.2,0.5566667,0.03358333,0.04270311,0.16349998,0.105,0.895
hCoV-19/Spain/NC-CHN-01000388/2021,B.1.1.7,B.1.1.7,0.93333334,0.016299993,0.020114973,0.07333338,0.0,1.0
hCoV-19/England/ALDP-167DD86/2021,AY.4,AY.4,0.88666666,0.03353334,0.026627388,0.10341662,0.0,1.0
hCoV-19/Singapore/5994/2021,B.1.617.2,B.1.617.2,0.5466667,0.051183343,0.04915474,0.19016668,0.0,1.0
hCoV-19/England/QEUH-1C617EB/2021,AY.4,AY.4,0.9533333,0.013299994,0.016410157,0.06008333,0.0,1.0
hCoV-19/Chile/LR-UACH-00014/2021,C.37,C.37,0.8566667,0.044333342,0.045160938,0.167,0.0,1.0
hCoV-19/England/ALDP-1E4E603/2021,B.1.617.2,AY.4,0.8333333,0.054416656,0.059244726,0.23683327,0.0,1.0
hCoV-19/Norway/OUS-18109/2021,BA.1,BA.1,0.9033333,0.17834999,0.21612124,0.6469167,0.055,0.945
hCoV-19/France/IDF-HMN-21032250288/2021,B.1.525,B.1.427,0.35333332,0.056149997,0.057149004,0.22341666,0.095,0.905
hCoV-19/USA/NY-UB-ECPHL-01114/2021,B.1.617.1,B.1.617.1,0.37333333,0.051,0.053464163,0.21674998,0.005,0.995
hCoV-19/USA/CA-CDC-STM-000020637/2021,B.1.427,B.1.427,0.81333333,0.09851666,0.06902391,0.26699996,0.0,1.0
hCoV-19/England/MILK-2D337EE/2021,BA.1,BA.1,1.0,0.0,0.0,0.0,0.0,1.0
hCoV-19/USA/FL-BPHL-5210/2021,P.1,P.1,0.73,0.045850005,0.056203105,0.21675003,0.0,1.0
hCoV-19/England/MILK-1DA4569/2021,B.1.617.2,AY.4,0.44333333,0.040516663,0.045780998,0.1735833,0.61,0.39
hCoV-19/Singapore/872/2021,B.1.351,B.1.621,0.34666666,0.052249998,0.063581616,0.23683333,0.03,0.97
hCoV-19/Singapore/6712/2021,B.1.617.2,B.1.617.2,0.32333332,0.04080001,0.04517492,0.18008333,0.03,0.97
hCoV-19/CaymanIslands/26625/2021,P.1,P.1,0.9433333,0.018699996,0.019529011,0.0670833,0.0,1.0
hCoV-19/Norway/OUS-03102/2021,B.1.1.7,B.1.1.7,0.99666667,0.004499996,0.0066833086,0.026666641,0.0,1.0
hCoV-19/Austria/CeMM5304/2021,B.1.1.7,B.1.1.7,0.86333334,0.05874999,0.05663281,0.21000004,0.0,1.0
hCoV-19/England/QEUH-12FD089/2021,B.1.1.7,BA.1,0.28333333,0.042316664,0.05079676,0.19016664,0.25,0.75
hCoV-19/Switzerland/GE-33059814/2021,B.1.1.7,P.2,0.39333335,0.053216677,0.05549074,0.21691665,0.19,0.81
hCoV-19/England/PLYM-167CF09/2021,B.1.617.2,B.1.617.2,0.99666667,0.002883331,0.0041257646,0.013333321,0.0,1.0
hCoV-19/England/ALDP-12BB139/2021,B.1.1.7,B.1.1.7,0.5833333,0.046916656,0.04518207,0.16024998,0.0,1.0
hCoV-19/Ghana/NMIMR-TRA-133/2021,B.1.1.7,B.1.1.7,1.0,0.00034999967,0.0010748375,0.0033333302,0.0,1.0
hCoV-19/England/PLYM-1F8C231/2021,AY.4,AY.4,0.9266667,0.01666666,0.021413801,0.08666664,0.0,1.0
hCoV-19/USA/CA-CDC-FG-121570/2021,B.1.617.2,B.1.617.2,0.8933333,0.026816668,0.032655746,0.12341666,0.0,1.0
hCoV-19/Brazil/RN-00858/2021,P.2,P.2,1.0,0.0014499986,0.0021750457,0.0066666603,0.0,1.0
hCoV-19/Germany/SH-RKI-I-252849/2021,B.1.617.2,B.1.617.2,0.33,0.06326666,0.06313664,0.2400833,0.02,0.98
